Rank	Gene	Centrality
171	Ctsl	0.003498835216918139
172	Got1	0.0034479188325456963
173	Mrps16	0.003437039659086928
174	Pfkm	0.003435897059412018
175	Nek2	0.0033779649258186884
176	Ephb1	0.0033689903228037344
177	Ugt1a6a	0.003337646284066444
178	Ugt1a7c	0.003337646284066444
179	Atp5d	0.0033226522903845603
180	Optn	0.003312092213346543
181	Ndufb6	0.003306933964598914
182	Ppbp	0.003294821154307544
183	Fgf1	0.0032425457672709706
184	Atp5j2	0.0032210321142322152
185	Rfxank	0.0031627804883408535
186	Pkn1	0.0030998911349259914
187	Idh3a	0.003044170776707616
188	Mms22l	0.0029815180066020347
189	Ppp1cb	0.002978273464363513
190	Runx2	0.002964162282875389
191	Vldlr	0.0029538053751215405
192	Abcc8	0.0029297114036157122
193	Mylip	0.0028860789878270687
194	Clhc1	0.002851844684403998
195	Cds1	0.002850726154934393
196	Tuba1b	0.0028487512117808204
197	Atp5h	0.0028320002627930203
198	Tlr7	0.0028169788503222084
199	Cap2	0.0027993098883700215
200	Txn2	0.0027879985218107863
201	Cdc20	0.002779175746664871
202	Acaa2	0.002724001059430597
203	Vdac2	0.0026899514124944725
204	Col18a1	0.0026879117024094052
205	Uqcrc2	0.0026686114608850853
206	Ank2	0.0026399087207029433
207	Cyb5r4	0.0026397304363189452
208	Fdx1	0.0026032202841359113
209	Cdc45	0.0025960274996854036
210	Kcnip2	0.002585088295946963
211	Fgf9	0.002578624549379511
212	Cox17	0.002576721714621396
213	Cth	0.0025631674416752275
214	Alpl	0.002551439018198256
215	Pptc7	0.002501694330470696
216	Stk40	0.0024971275068763356
217	Kcnb1	0.0024434626167591
218	Uqcrb	0.002439743010315044
219	Cryab	0.002422703306795114
220	Kif16b	0.0024160959081029184
221	B4galt1	0.002362694707603174
222	C1qb	0.002358038345126641
223	Mapt	0.0023554144873709124
224	Aco2	0.002342798451908912
225	Akr1b10	0.0023424990211411943
226	Ndufs8	0.0023292477822639645
227	Med23	0.0023280818823050485
228	Mybl2	0.002302294859278553
229	Adssl1	0.0022966903127456897
230	Pcsk6	0.0022940648214126377
231	Rpl3l	0.002290739541821573
232	Cidea	0.0022801743160117643
233	Mrpl36	0.002273682687781214
234	Kifc3	0.0022580887512744703
235	Hist1h4n	0.002251886852675659
236	Cox8b	0.0022484955027166245
237	Fahd1	0.002229286823562865
238	Nrcam	0.002215159170798502
239	Npas2	0.0021869269455877705
240	Fcgr3	0.002184934343821786
241	Hmgb2	0.0021714001243976137
242	Rarb	0.002159826642000647
243	Alas2	0.0021592812226798263
244	Bik	0.0021592812226798263
245	Cd33	0.0021592812226798263
246	Elavl3	0.0021592812226798263
247	Gk5	0.0021592812226798263
248	Hexa	0.0021592812226798263
249	Klhdc1	0.0021592812226798263
250	Madcam1	0.0021592812226798263
251	Efemp1	0.0021592812226798263
252	Mpp1	0.0021592812226798263
253	Nfe2	0.0021592812226798263
254	Nostrin	0.0021592812226798263
255	Lmx1a	0.0021592812226798263
256	Pltp	0.0021592812226798263
257	Chml	0.0021592812226798263
258	Sec11c	0.0021592812226798263
259	Slc2a5	0.0021592812226798263
260	Srl	0.0021592812226798263
261	Trem1	0.0021592812226798263
262	Trmt2b	0.0021592812226798263
263	Usp49	0.0021592812226798263
264	Wscd2	0.0021592812226798263
265	Rps6ka2	0.002136370422553855
266	Pde4a	0.0020926862841850634
267	Dhrs9	0.002039900291617469
268	Mob1b	0.0019763220974198777
269	Samm50	0.0019644399480303115
270	Klrd1	0.001960494769128115
271	Nrp2	0.0019451157497742397
272	Arhgdig	0.0019226855915041355
273	Ccl9	0.0019116740992590887
274	Kif18b	0.0019088272135591412
275	Brca1	0.0018856170371228146
276	Nqo1	0.0018631185263569387
277	F7	0.0018503528736904895
278	Dync2li1	0.001820830211419907
279	Glud1	0.0017648647732127773
280	Atp1a2	0.0017384089810173298
281	Map2k3	0.001704519045031831
282	Ccl6	0.0016948881066602434
283	Serpinb8	0.0016874736387182312
284	Dnm1	0.0016601591284598012
285	Mcm5	0.001647708282064846
286	Orc1	0.0016230153946283075
287	Nt5m	0.0016127498572954368
288	Mrpl51	0.0016098251699884934
289	Dync1i1	0.0016004749526760472
290	Lif	0.0015929812956548123
291	Gpt2	0.0015788655866672745
292	Eef1a2	0.0015761223684523985
293	C3ar1	0.0015723080487814083
294	Prkab1	0.0015696651229152644
295	Sucla2	0.001567994532673419
296	Bub1b	0.001564887809315504
297	Cenpe	0.001563366376380415
298	Snca	0.0015241507125601144
299	Hspa12a	0.0015208553706875145
300	Hspa12b	0.0015208553706875145
